Keyword Found,Address,Price,Area IN Sqft,LotSize in Sqft,Bedroom,Bathroom
,"175 W Saint James St UNIT 1308, San Jose, CA 95110",845000,1103,0,2,2
,"38 N Almaden Blvd UNIT 1901, San Jose, CA 95110",1800000,1719,0,3,2
,"368 Shadow Run Dr, San Jose, CA 95110",699000,871,0,2,2
,"1375 Lick Ave APT 1025, San Jose, CA 95110",599000,842,0,1,1
,"38 N Almaden Blvd UNIT 702, San Jose, CA 95110",599000,655,0,0,1
,"38 N Almaden Blvd UNIT 902, San Jose, CA 95110",585000,655,0,1,1
,"1550 Technology Dr UNIT 2108, San Jose, CA 95110",789999,1264,0,2,2
,"1550 Technology Dr UNIT 4106, San Jose, CA 95110",538000,665,0,1,1
,"1375 Lick Ave APT 828, San Jose, CA 95110",800000,1096,0,2,2
,"411 Park Ave UNIT 126, San Jose, CA 95110",730000,1048,0,2,2
,"144 S 3rd St UNIT 109, San Jose, CA 95112",939500,1440,0,2,3
,"605 Balfour Dr, San Jose, CA 95111",465000,672,0,1,1
,"974 Pavilion Loop, San Jose, CA 95112",759888,1024,0,2,2
,"350 N 2nd St APT 306, San Jose, CA 95112",680000,976,0,1,2
,"1060 S 3rd St APT 302, San Jose, CA 95112",495000,667,0,1,1
,"189 Silcreek Dr, San Jose, CA 95116",595000,1313,0,2,2
,"514 S 22nd St, San Jose, CA 95116",799880,1444,0,3,3
,"470 S 22nd St, San Jose, CA 95116",905000,1917,0,4,4
,"1373 Phelps Ave APT 10, San Jose, CA 95117",510000,840,0,2,1
,"1375 Phelps Ave APT 2, San Jose, CA 95117",599999,840,0,2,1
,"1367 Phelps Ave APT 3, San Jose, CA 95117",575000,840,0,2,1
,"88 N Jackson Ave UNIT 124, San Jose, CA 95116",558000,1056,0,2,2
,"3128 Loma Verde Dr APT 211, San Jose, CA 95117",749888,932,0,2,2
,"127 Silcreek Dr, San Jose, CA 95116",638000,1441,0,3,2
,"3550 Alden Way APT 18, San Jose, CA 95117",635000,990,0,2,2
,"288 Palacio Royale Cir, San Jose, CA 95116",649888,1474,0,4,3
,"1634 Branham Ln UNIT F, San Jose, CA 95118",800000,1134,0,2,2
,"4824 Pine Forest Pl, San Jose, CA 95118",665000,1060,0,2,2
,"1348 Shawn Dr UNIT 2, San Jose, CA 95118",489950,903,0,2,1
,"4880 Pine Forest Pl, San Jose, CA 95118",649000,997,0,2,2
,"5641 Calmor Ave APT 4, San Jose, CA 95123",465000,798,0,2,1
,"5538 Makati Cir, San Jose, CA 95123",479000,552,0,1,1
,"5953 Lake Hennessy Ct, San Jose, CA 95123",674950,1020,0,2,2
,"1107 Indian Summer Ct, San Jose, CA 95122",499888,1056,0,1,2
,"2881 Meridian Ave UNIT 153, San Jose, CA 95124",689000,971,0,1,1
,"5479 Makati Cir, San Jose, CA 95123",589900,989,0,2,2
,"7234 Via Mimosa, San Jose, CA 95135",799000,1815,0,3,2
,"1457 Alegria Loop, San Jose, CA 95128",799888,1532,0,2,3
,"7687 Galloway Dr, San Jose, CA 95135",769000,1572,0,2,2
,"8113 Cabernet Ct, San Jose, CA 95135",749000,1554,0,2,3
,"8389 Riesling Way, San Jose, CA 95135",778000,1646,0,2,2
,"2622 Baton Rouge Dr, San Jose, CA 95133",899900,1648,0,4,4
,"6129 Montgomery Ct, San Jose, CA 95135",593000,1307,0,2,2
,"2418 Stearman Ln UNIT 2, San Jose, CA 95132",915000,1450,0,2,3
,"5551 Cribari Cir, San Jose, CA 95135",545000,1348,0,2,2
,"2018 Carignan Way, San Jose, CA 95135",749000,1629,0,2,2
,"7510 Deveron Ct, San Jose, CA 95135",699000,1509,0,2,2
,"1467 Alma Loop, San Jose, CA 95125",620000,1071,0,2,2
,"5220 Cribari Dale, San Jose, CA 95135",548000,1240,0,2,2
,"1152 Brace Ave APT 11, San Jose, CA 95125",799000,954,0,2,2
,"3225 Lake Albano Cir #3225, San Jose, CA 95135",609888,1184,0,2,2
,"1042 Yarwood Ct, San Jose, CA 95128",558000,922,0,2,2
,"1552 Easington Way, San Jose, CA 95126",925000,1470,0,3,3
,"925 The Alameda UNIT 305, San Jose, CA 95126",799000,1088,0,1,2
,"1886 Midnight Cir, San Jose, CA 95133",799000,1130,0,2,2
,"1641 Parkview Green Cir, San Jose, CA 95131",749888,940,0,2,1
,"1535 Four Oaks Cir, San Jose, CA 95131",599000,992,0,2,2
,"1053 Dewberry Pl UNIT 401, San Jose, CA 95131",1148000,1661,0,2,3
,"878 Gilchrist Dr #1, San Jose, CA 95133",490000,810,0,2,1
,"241 Llano De Los Robles Ave #7, San Jose, CA 95136",838157,1110,0,2,2
,"241 Llano De Los Robles Ave #6, San Jose, CA 95136",766604,829,0,1,2
,"98 Cherry Ridge Ln, San Jose, CA 95136",549999,891,0,2,1
,"465 Casselino Dr, San Jose, CA 95136",750000,1104,0,2,2
,"214 Vista Roma Way, San Jose, CA 95136",880000,1680,0,3,3
,"93 Kenbrook Cir, San Jose, CA 95111",550000,1008,0,2,2
,"90 Kenbrook Cir, San Jose, CA 95111",375000,724,0,1,1
,"1091 Tekman Dr, San Jose, CA 95122",369000,648,0,1,1
,"2071 E San Antonio St, San Jose, CA 95116",575000,1278,0,3,2
,"2177 Alum Rock Ave APT 221, San Jose, CA 95116",559000,1142,0,2,2
,"88 N Jackson Ave UNIT 214, San Jose, CA 95116",396800,720,0,1,1
,"199 Silcreek Dr, San Jose, CA 95116",649888,1441,0,3,2
,"1102 Library Ln, San Jose, CA 95116",699000,1202,0,2,3
