Keyword Found,Address,Price,Area IN Sqft,LotSize in Sqft,Bedroom,Bathroom
remodel,"1405 San Juan Ave, San Jose, CA 95110",1250000,1168,5553,3,2
remodel,"474 El Cajon Dr, San Jose, CA 95111",899000,1621,5000,5,3
remodel,"675 Serenade Way, San Jose, CA 95111",798880,1137,5161,3,2
remodel,"3168 Durant Ave, San Jose, CA 95111",929999,1527,5257,3,2
remodel,"886 S 10th St, San Jose, CA 95112",799999,1040,6194,2,1
remodel,"279 E Saint John St, San Jose, CA 95112",908888,1200,6311,3,2
remodel,"420 S 14th St, San Jose, CA 95112",1170000,1512,6303,3,1
remodel,"677 Monferino Dr, San Jose, CA 95112",899000,1276,4996,4,3
renovate,"144 Basch Ave, San Jose, CA 95116",739000,1032,5519,3,1
renovate,"1696 Whitton Ave, San Jose, CA 95116",995000,1451,5357,4,3
remodel,"121 Melrose Ave, San Jose, CA 95116",849000,1188,5266,3,2
remodel,"1332 Los Palos Way, San Jose, CA 95118",1398000,1996,6960,4,3
renovate,"1564 Park Crest Ct, San Jose, CA 95118",1389000,1446,6002,3,3
remodel,"6985 Sessions Dr, San Jose, CA 95119",1175000,2035,6120,4,3
remodel,"4126 Cherry Ave, San Jose, CA 95118",1100000,1596,6782,3,2
remodel,"4581 Calle De Tosca, San Jose, CA 95118",1499000,2185,7108,4,2
remodel,"4532 Bald Eagle Way, San Jose, CA 95118",1389000,1860,6111,4,3
remodel,"6896 Burnside Dr, San Jose, CA 95120",1598000,2126,9496,4,3
remodel,"1084 Fleetwood Dr, San Jose, CA 95120",1180000,2244,6377,4,3
remodel,"1418 Foxworthy Ave, San Jose, CA 95118",1099000,1536,6189,3,2
remodel,"1093 Orangebrick Way, San Jose, CA 95120",1600000,2240,8772,4,3
remodel,"1541 Hallbrook Dr, San Jose, CA 95118",1299800,2879,6024,4,2
remodel,"1006 Mazzone Dr, San Jose, CA 95120",1849888,3273,8006,4,3
remodel,"222 Belden Dr, San Jose, CA 95123",998000,1846,5074,4,4
remodel,"1768 Ivy Mills Ln, San Jose, CA 95122",799000,1628,2587,3,3
remodel,"6101 Ute Dr, San Jose, CA 95123",1089000,1409,6682,3,2
remodel,"2693 Hocking Way, San Jose, CA 95124",1899950,3250,7697,4,4
remodel,"425 Avenida Arboles, San Jose, CA 95123",1048888,1123,4970,3,2
remodel,"15122 Woodard Rd, San Jose, CA 95124",1098000,1138,8354,3,2
remodel,"1649 Glenville Dr, San Jose, CA 95124",1499000,2376,6202,6,3
remodel,"4873 Pepperwood Way, San Jose, CA 95124",1300000,1240,6194,3,2
renovate,"6252 Mahan Dr, San Jose, CA 95123",998000,1817,5702,3,2
remodel,"214 Mountain View Ave, San Jose, CA 95127",918000,1863,10175,3,2
remodel,"2141 Bel Air Ave, San Jose, CA 95128",1299000,1304,6128,3,1
remodel,"5450 Fairway Dr, San Jose, CA 95127",1149950,1320,8498,3,2
remodel,"687 S Daniel Way, San Jose, CA 95128",1329888,1380,7888,3,2
remodel,"2678 Northwood Dr, San Jose, CA 95132",1188000,1361,6242,4,2
remodel,"3041 Baronscourt Way, San Jose, CA 95132",1379000,1827,6695,4,3
remodel,"1281 Sandra Dr, San Jose, CA 95125",1290000,1260,7069,2,1
remodel,"1821 Ellen Ave, San Jose, CA 95125",1449000,1663,5113,3,3
remodel,"2155 Sunny Vista Dr, San Jose, CA 95128",1299000,1092,6176,3,2
remodel,"911 Redbird Dr, San Jose, CA 95125",949000,1376,6442,4,2
remodel,"573 Clifton Ave, San Jose, CA 95128",1099888,1720,5993,3,3
renovate,"2375 Westgate Ave, San Jose, CA 95125",1800000,2423,10206,4,3
remodel,"2130 Redbush Ter, San Jose, CA 95128",1999888,2190,8881,4,3
renovate,"3432 Glamorgan Ct, San Jose, CA 95127",1199999,1742,15681.6,3,3
remodel,"809 Bird Ave, San Jose, CA 95125",1499900,1774,5205,3,2
remodel,"376 Linkhorne Ct, San Jose, CA 95133",799000,1681,4543,4,3
renovate,"1560 Mckendrie St, San Jose, CA 95126",1698000,2337,4595,4,3
remodel,"822 Cape Town Pl, San Jose, CA 95133",1399000,2940,10227,4,3
remodel,"2003 Marcross Dr, San Jose, CA 95131",999999,1234,6586,4,2
